,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
137,Muhammad Zulfikri,Francisco Felicilda,8,9,138,2010-06-29,2010 WPA World 9-Ball Championship
138,Antonio Lining,Khalid Al Kamale,9,5,139,2010-06-29,2010 WPA World 9-Ball Championship
139,Antonio Gabica,Francisco Felicilda,8,9,140,2010-06-29,2010 WPA World 9-Ball Championship
140,Majid N. Alazmi,Liu Haitao,5,9,141,2010-06-29,2010 WPA World 9-Ball Championship
141,Ihab Hassan,Efren Reyes,0,9,142,2010-06-29,2010 WPA World 9-Ball Championship
142,Majid N. Alazmi,Alaa Bata,9,1,143,2010-06-29,2010 WPA World 9-Ball Championship
143,Efren Reyes,Holger Gries,9,7,144,2010-06-29,2010 WPA World 9-Ball Championship
144,Mika Immonen,Majid N. Alazmi,9,3,145,2010-06-29,2010 WPA World 9-Ball Championship
145,Ihab Hassan,Alaa Bata,9,5,146,2010-06-29,2010 WPA World 9-Ball Championship
146,Efren Reyes,Liu Haitao,5,9,147,2010-06-29,2010 WPA World 9-Ball Championship
147,Holger Gries,Vinancio Tanio,5,9,148,2010-06-29,2010 WPA World 9-Ball Championship
148,Mika Immonen,Ihab Hassan,9,4,149,2010-06-29,2010 WPA World 9-Ball Championship
149,Liu Haitao,Vinancio Tanio,8,9,150,2010-06-29,2010 WPA World 9-Ball Championship
150,Ahmed Hassan,Oliver Ortmann,3,9,151,2010-06-29,2010 WPA World 9-Ball Championship
151,David Alcaide,Ricky Yang,9,7,152,2010-06-29,2010 WPA World 9-Ball Championship
152,Jason Theron,Ahmed Hassan,6,9,153,2010-06-29,2010 WPA World 9-Ball Championship
153,Ricky Yang,Taher Hussain,9,2,154,2010-06-29,2010 WPA World 9-Ball Championship
154,David Alcaide,Jason Theron,9,6,155,2010-06-29,2010 WPA World 9-Ball Championship
155,Ronato Alcano,Ahmed Hassan,9,1,156,2010-06-29,2010 WPA World 9-Ball Championship
156,Ricky Yang,Dimitri Jungo,8,9,157,2010-06-29,2010 WPA World 9-Ball Championship
157,Taher Hussain,Oliver Ortmann,2,9,158,2010-06-29,2010 WPA World 9-Ball Championship
158,David Alcaide,Ronato Alcano,5,9,159,2010-06-29,2010 WPA World 9-Ball Championship
159,Dimitri Jungo,Oliver Ortmann,9,6,160,2010-06-29,2010 WPA World 9-Ball Championship
160,Chang Jung Lin,Jeffry De Luna,9,11,161,2010-06-29,2010 WPA World 9-Ball Championship
161,Francisco Felicilda,Bashar Hussain,11,7,162,2010-06-29,2010 WPA World 9-Ball Championship
162,Raymund Farun,Artem Koshovoj,11,8,163,2010-06-29,2010 WPA World 9-Ball Championship
163,Scott Higgins,Charles Williams,11,9,164,2010-06-29,2010 WPA World 9-Ball Championship
164,Lu Hui Chan,Marlon Manalo,8,11,165,2010-06-29,2010 WPA World 9-Ball Championship
165,Shane Van Boening,Joven Alba,11,7,166,2010-06-29,2010 WPA World 9-Ball Championship
166,Francisco Bustamante,Oliver Ortmann,11,2,167,2010-06-29,2010 WPA World 9-Ball Championship
167,Ko Pin Yi,Ernesto Dominguez,11,3,168,2010-06-29,2010 WPA World 9-Ball Championship
168,Jeffry De Luna,Francisco Felicilda,10,11,169,2010-06-29,2010 WPA World 9-Ball Championship
169,Raymund Farun,Scott Higgins,11,10,170,2010-06-29,2010 WPA World 9-Ball Championship
170,Marlon Manalo,Shane Van Boening,11,7,171,2010-06-29,2010 WPA World 9-Ball Championship
171,Francisco Bustamante,Ko Pin Yi,11,8,172,2010-06-29,2010 WPA World 9-Ball Championship
172,Francisco Felicilda,Raymund Farun,11,8,173,2010-06-29,2010 WPA World 9-Ball Championship
173,Marlon Manalo,Francisco Bustamante,6,11,174,2010-06-29,2010 WPA World 9-Ball Championship
174,Francisco Felicilda,Francisco Felicilda,5,5,175,2010-06-29,2010 WPA World 9-Ball Championship
175,Francisco Bustamante,Francisco Bustamante,11,11,176,2010-06-29,2010 WPA World 9-Ball Championship
176,Tony Drago,Lee Van Corteza,11,7,177,2010-06-29,2010 WPA World 9-Ball Championship
177,Craig Osbome,Antonio Gabica,11,4,178,2010-06-29,2010 WPA World 9-Ball Championship
178,Oliver Medenilla,Yukio Akakariyama,11,9,179,2010-06-29,2010 WPA World 9-Ball Championship
179,Nitiwat Kanjanasri,So Shaw,11,4,180,2010-06-29,2010 WPA World 9-Ball Championship
180,Hanni Al Howri,Nguyen Phuc Long,2,11,181,2010-06-29,2010 WPA World 9-Ball Championship
181,Antonio Lining,Lee Poh Soon,11,7,182,2010-06-29,2010 WPA World 9-Ball Championship
182,Dimitri Jungo,Yousseff Jaffar,11,2,183,2010-06-29,2010 WPA World 9-Ball Championship
183,Mika Immonen,Lee Chenman,3,11,184,2010-06-29,2010 WPA World 9-Ball Championship
184,Tony Drago,Craig Osbome,8,11,185,2010-06-29,2010 WPA World 9-Ball Championship
185,Oliver Medenilla,Nitiwat Kanjanasri,11,9,186,2010-06-29,2010 WPA World 9-Ball Championship
186,Nguyen Phuc Long,Antonio Lining,6,11,187,2010-06-29,2010 WPA World 9-Ball Championship
187,Dimitri Jungo,Lee Chenman,11,8,188,2010-06-29,2010 WPA World 9-Ball Championship
188,Craig Osbome,Oliver Medenilla,9,11,189,2010-06-29,2010 WPA World 9-Ball Championship
189,Antonio Lining,Dimitri Jungo,11,8,190,2010-06-29,2010 WPA World 9-Ball Championship
190,Oliver Medenilla,Oliver Medenilla,10,10,191,2010-06-29,2010 WPA World 9-Ball Championship
191,Antonio Lining,Antonio Lining,11,11,192,2010-06-29,2010 WPA World 9-Ball Championship
192,Masaaki Tanaka,Alain Martel,11,8,193,2010-06-29,2010 WPA World 9-Ball Championship
193,Israel Rota,Jason Klatt,8,11,194,2010-06-29,2010 WPA World 9-Ball Championship
194,Johnny Archer,Efren Reyes,11,10,195,2010-06-29,2010 WPA World 9-Ball Championship
195,Dennis Orcollo,Bruno Muratore,7,11,196,2010-06-29,2010 WPA World 9-Ball Championship
196,Stephan Cohen,Mariusz Skoneczny,9,11,197,2010-06-29,2010 WPA World 9-Ball Championship
197,Sandor Tot,Marcus Chamat,11,5,198,2010-06-29,2010 WPA World 9-Ball Championship
198,Vinancio Tanio,Ralf Souquet,11,2,199,2010-06-29,2010 WPA World 9-Ball Championship
199,Hayato Hijikata,Liu Haitao,11,11,200,2010-06-29,2010 WPA World 9-Ball Championship
200,Masaaki Tanaka,Jason Klatt,10,11,201,2010-06-29,2010 WPA World 9-Ball Championship
201,Johnny Archer,Bruno Muratore,11,7,202,2010-06-29,2010 WPA World 9-Ball Championship
202,Mariusz Skoneczny,Sandor Tot,6,11,203,2010-06-29,2010 WPA World 9-Ball Championship
203,Vinancio Tanio,Hayato Hijikata,5,11,204,2010-06-29,2010 WPA World 9-Ball Championship
204,Jason Klatt,Johnny Archer,8,11,205,2010-06-29,2010 WPA World 9-Ball Championship
205,Sandor Tot,Hayato Hijikata,11,8,206,2010-06-29,2010 WPA World 9-Ball Championship
206,Johnny Archer,Johnny Archer,11,11,207,2010-06-29,2010 WPA World 9-Ball Championship
207,Sandor Tot,Sandor Tot,6,6,208,2010-06-29,2010 WPA World 9-Ball Championship
208,Yang Ching Shun,David Alcaide,11,7,209,2010-06-29,2010 WPA World 9-Ball Championship
209,Alen Cuarcero,Nick van den Berg,6,11,210,2010-06-29,2010 WPA World 9-Ball Championship
210,Ibrahim Bin Amir,Chan Keng Kwang,11,7,211,2010-06-29,2010 WPA World 9-Ball Championship
211,John Morra,Kuo Po Chen,9,11,212,2010-06-29,2010 WPA World 9-Ball Championship
212,Christian Reimering,Carlo Dalmatin,11,9,213,2010-06-29,2010 WPA World 9-Ball Championship
213,Konstantin Stepanov,Tohru Kuribayashi,9,11,214,2010-06-29,2010 WPA World 9-Ball Championship
214,Dang Jinhu,Chris Melling,11,2,215,2010-06-29,2010 WPA World 9-Ball Championship
215,Ronato Alcano,Muhammad Zulfikri,11,6,216,2010-06-29,2010 WPA World 9-Ball Championship
216,Yang Ching Shun,Nick van den Berg,11,9,217,2010-06-29,2010 WPA World 9-Ball Championship
217,Ibrahim Bin Amir,Kuo Po Chen,10,11,218,2010-06-29,2010 WPA World 9-Ball Championship
218,Christian Reimering,Tohru Kuribayashi,11,6,219,2010-06-29,2010 WPA World 9-Ball Championship
219,Dang Jinhu,Ronato Alcano,7,11,220,2010-06-29,2010 WPA World 9-Ball Championship
220,Yang Ching Shun,Kuo Po Chen,9,11,221,2010-06-29,2010 WPA World 9-Ball Championship
221,Christian Reimering,Ronato Alcano,11,8,222,2010-06-29,2010 WPA World 9-Ball Championship
222,Kuo Po Chen,Ronato Alcano,11,5,223,2010-06-29,2010 WPA World 9-Ball Championship
223,Francisco Bustamante,Antonio Lining,11,5,224,2010-06-29,2010 WPA World 9-Ball Championship
224,Johnny Archer,Kuo Po Chen,10,11,225,2010-06-29,2010 WPA World 9-Ball Championship
225,Francisco Bustamante,Kuo Po Chen,13,7,226,2010-06-29,2010 WPA World 9-Ball Championship
